grid_lat,grid_height,nrcell_cid,nrcell_freq,cell_index,cell_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
40.463,90,459,520110,5,5G,49,5,0.10204081632653061,43,5,0.11627906976744186,0.5466,0.28799694442823526,0.088,0.18280000000000002,0.325,0.76,0.76,0.784,0.8,35.7264,21.604128435093138,4.28,9.2944,16.816,46.984,48.344,56.6624,62.208,
40.463,90,317,520110,4,5G,49,4,0.08163265306122448,43,4,0.09302325581395349,0.608,0.019595917942265444,0.576,0.5856,0.6,0.616,0.624,0.624,0.624,45.382000000000005,1.9399577314982936,43.192,43.3576,43.606,45.344,47.120000000000005,47.436800000000005,47.648,
40.463,90,700,125290,1,5G,49,0,0.0,43,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4631,90,721,520110,2,5G,50,23,0.46,37,17,0.4594594594594595,0.5176470588235295,0.17109231810598305,0.0,0.40480000000000005,0.496,0.528,0.568,0.648,0.896,28.40623529411765,9.927259248147537,0.618,22.056,24.704,25.816,35.016,41.12,43.6,
40.4631,90,459,520110,5,5G,50,3,0.06,37,2,0.05405405405405406,0.944,0.18399999999999994,0.76,0.7968,0.852,0.944,1.036,1.0912,1.128,58.86,5.396000000000001,53.464,54.5432,56.162,58.86,61.558,63.1768,64.256,
40.4631,90,749,520110,3,5G,50,20,0.4,37,14,0.3783783783783784,0.4977142857142858,0.07376742270854544,0.384,0.40240000000000004,0.43,0.512,0.542,0.5632,0.656,29.584000000000003,9.340566394573113,15.792,19.093600000000002,20.037999999999997,30.612000000000002,33.896,42.4832,45.464,
40.4631,90,317,520110,4,5G,50,4,0.08,37,4,0.10810810810810811,0.5640000000000001,0.2844503471609764,0.184,0.2824,0.43,0.544,0.6779999999999999,0.8616,0.984,32.926,15.966047350549852,6.856,15.940000000000001,29.566000000000003,37.268,40.628,46.4384,50.312,
40.4631,90,700,125290,1,5G,50,0,0.0,37,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40.4632,90,721,520110,2,5G,50,21,0.42,35,13,0.37142857142857144,0.5606153846153845,0.11772035864809743,0.232,0.464,0.52,0.568,0.648,0.6624,0.704,32.66461538461538,11.17298476434917,11.328,18.334400000000002,25.648,37.104,40.768,44.6192,50.096,
40.4632,90,459,520110,5,5G,50,4,0.08,35,1,0.02857142857142857,0.72,0.0,0.72,0.72,0.72,0.72,0.72,0.72,0.72,53.192,0.0,53.192,53.192,53.192,53.192,53.192,53.192,53.192,
