grid_lon,grid_height,total_sample,total_sample_nr,nr_duration_ratio,total_sample_nr_low,nr_low_duration_ratio,total_sample_nr_mid,nr_mid_duration_ratio,nr_duration_ratio_plot
40.4630,60.0000,103.0000,103.0000,1.0000,0.0000,0.0000,103.0000,1.0000,1.7500
40.4630,90.0000,39.0000,39.0000,1.0000,0.0000,0.0000,39.0000,1.0000,1.7500
40.4630,120.0000,49.0000,49.0000,1.0000,2.0000,0.0408,47.0000,0.9592,1.7500
40.4631,0.0000,43.0000,42.0000,0.9767,41.0000,0.9535,1.0000,0.0233,1.4172
40.4631,30.0000,93.0000,93.0000,1.0000,4.0000,0.0430,89.0000,0.9570,1.7500
40.4631,60.0000,45.0000,45.0000,1.0000,0.0000,0.0000,45.0000,1.0000,1.7500
40.4631,90.0000,36.0000,36.0000,1.0000,0.0000,0.0000,36.0000,1.0000,1.7500
40.4631,120.0000,53.0000,53.0000,1.0000,3.0000,0.0566,50.0000,0.9434,1.7500
40.4632,0.0000,53.0000,50.0000,0.9434,49.0000,0.9245,1.0000,0.0189,1.2170
40.4632,30.0000,76.0000,76.0000,1.0000,3.0000,0.0395,73.0000,0.9605,1.7500
40.4632,60.0000,44.0000,44.0000,1.0000,0.0000,0.0000,44.0000,1.0000,1.7500
40.4632,90.0000,34.0000,34.0000,1.0000,0.0000,0.0000,34.0000,1.0000,1.7500
40.4632,120.0000,49.0000,49.0000,1.0000,2.0000,0.0408,47.0000,0.9592,1.7500
40.4633,0.0000,19.0000,16.0000,0.8421,15.0000,0.7895,1.0000,0.0526,0.9035
40.4633,30.0000,70.0000,70.0000,1.0000,5.0000,0.0714,65.0000,0.9286,1.7500
40.4633,60.0000,41.0000,41.0000,1.0000,0.0000,0.0000,41.0000,1.0000,1.7500
40.4633,90.0000,43.0000,43.0000,1.0000,0.0000,0.0000,43.0000,1.0000,1.7500
40.4633,120.0000,47.0000,47.0000,1.0000,2.0000,0.0426,45.0000,0.9574,1.7500
40.4634,0.0000,14.0000,12.0000,0.8571,11.0000,0.7857,1.0000,0.0714,0.9286
40.4634,30.0000,76.0000,76.0000,1.0000,5.0000,0.0658,71.0000,0.9342,1.7500
40.4634,60.0000,40.0000,40.0000,1.0000,0.0000,0.0000,40.0000,1.0000,1.7500
40.4634,90.0000,52.0000,51.0000,0.9808,0.0000,0.0000,51.0000,0.9808,1.4423
