parent_grid_lat,parent_grid_lon,parent_lat_index,parent_lon_index,sub_grid_lat,sub_grid_lon,sub_lat_index,sub_lon_index,lat_index,lon_index,rsrp_50_273_387410,rsrp_50_371_387410,rsrp_50_gap_273_371_387410,rsrp_50_gap_target_other_pcells,target_pcell_usage,target_scell_usage
40.42825,-86.92035,3,2,40.42825,-86.92055,2,0,3.4,2,-95.905,-87.995,7.91,0.55875,0.6125,0.6125
40.42825,-86.92035,3,2,40.42825,-86.92045,2,1,3.4,2.2,-95.854,-92.223,4.943,2.001,0.900757576,0.900757576
40.42825,-86.92035,3,2,40.42825,-86.92035,2,2,3.4,2.4,-94.928,-92.371,3.869,4.641,0.900757576,0.900757576
40.42825,-86.92035,3,2,40.42825,-86.92025,2,3,3.4,2.6,-89.802,-85.776,4.246,13.499,1,1
40.42825,-86.92035,3,2,40.42825,-86.92015,2,4,3.4,2.8,-87.245,-82.70285714,4.699285714,14.58142857,1,1
40.42825,-86.92035,3,2,40.42835,-86.92045,3,1,3.6,2.2,-98.63,-101.91,3.28,1.01,0.503787879,0.503787879
40.42825,-86.92035,3,2,40.42835,-86.92035,3,2,3.6,2.4,-98.63,-101.91,3.28,1.01,0.503787879,0.503787879
40.42825,-86.92035,3,2,40.42835,-86.92015,3,4,3.6,2.8,-91.34,-84.845,6.495,1.24,1,1
40.42625,-86.91935,1,3,40.42605,-86.91945,0,1,1,3.2,-100.72,-75.18,25.54,11.43,1,1
40.42625,-86.91935,1,3,40.42605,-86.91935,0,2,1,3.4,-94.11222222,-71.50444444,22.60777778,10.02944444,1,1
40.42625,-86.91935,1,3,40.42605,-86.91925,0,3,1,3.6,-104.8240909,-72.10115385,33.05409091,10.87041667,1,1
40.42625,-86.91935,1,3,40.42605,-86.91915,0,4,1,3.8,-126.55,-73.50416667,53.255,10.868,1,1
40.42625,-86.91935,1,3,40.42615,-86.91955,1,0,1.2,3,-85.44125,-73.08,12.36125,18.9725,1,1
40.42625,-86.91935,1,3,40.42615,-86.91945,1,1,1.2,3.2,-81.604,-70.848,10.756,14.313,1,1
40.42625,-86.91935,1,3,40.42615,-86.91935,1,2,1.2,3.4,-93.453,-70.3075,23.1455,10.3945,1,1
40.42625,-86.91935,1,3,40.42615,-86.91925,1,3,1.2,3.6,-109.8281818,-72.08928571,38.45954545,10.09,1,1
40.42625,-86.91935,1,3,40.42615,-86.91915,1,4,1.2,3.8,-125.5228571,-73.5875,52.42571429,9.650555556,1,1
40.42625,-86.91935,1,3,40.42625,-86.91955,2,0,1.4,3,-102.25875,-71.323125,30.935625,19.07125,0.5,0.5
40.42625,-86.91935,1,3,40.42625,-86.91945,2,1,1.4,3.2,-107.1995,-69.633,37.5665,13.8815,0.7,0.7
40.42625,-86.91935,1,3,40.42625,-86.91935,2,2,1.4,3.4,-107.9275,-69.15916667,38.76833333,10.43458333,0.833333333,0.833333333
40.42625,-86.91935,1,3,40.42625,-86.91925,2,3,1.4,3.6,-110.019375,-72.14071429,39.795625,8.191428571,0.928571429,0.928571429
40.42625,-86.91935,1,3,40.42625,-86.91915,2,4,1.4,3.8,-117.772,-74.18272727,44.206,7.773636364,1,1
