grid_lat,grid_lon,cellset_length,target_pcell_usage,target_scell_usage,rsrp_25_max_target_pcells,rsrp_25_max_other_pcells,rsrp_25_gap_target_other_pcells,rsrp_50_max_target_pcells,rsrp_50_max_other_pcells,rsrp_50_gap_target_other_pcells,rsrp_75_max_target_pcells,rsrp_75_max_other_pcells,rsrp_75_gap_target_other_pcells,rsrp_25_gap_273_371_387410,rsrp_50_gap_273_371_387410,rsrp_75_gap_273_371_387410
40.42445,-86.91665,172,0.0523255813953488,0.0,-93.9575,-89.22749999999999,-4.730000000000004,-92.405,-87.525,-4.8799999999999955,-88.4375,-85.34,-3.0974999999999966,0.24750000000000227,2.0250000000000057,3.480000000000004
40.42445,-86.9166,647,0.0,0.0,-93.36,-87.02,-6.340000000000003,-92.38,-85.48,-6.8999999999999915,-91.3675,-83.93,-7.4375,1.5375000000000085,3.0,4.237499999999997
40.4245,-86.91665,172,0.0348837209302325,0.0,-92.8,-89.07,-3.730000000000004,-91.33,-87.68,-3.6499999999999915,-90.23,-86.77,-3.460000000000008,2.362499999999997,1.7749999999999915,1.7749999999999915
40.4245,-86.9166,423,0.0,0.0,-94.205,-88.46249999999999,-5.742500000000007,-92.9,-87.005,-5.89500000000001,-91.39,-84.5375,-6.852500000000006,0.2600000000000051,2.5600000000000023,2.9150000000000063
40.42455,-86.91675000000001,286,0.0,0.0,-91.71,-88.62,-3.089999999999989,-90.39,-86.275,-4.114999999999995,-88.27,-84.35,-3.9200000000000017,3.9000000000000057,4.480000000000004,3.469999999999999
40.42455,-86.91665,201,0.0398009950248756,0.0,-90.84,-90.995,0.15500000000000114,-89.37,-88.76,-0.6099999999999994,-88.38,-87.88,-0.5,1.4849999999999994,0.10500000000000398,0.5675000000000097
40.42455,-86.9166,134,0.0,0.0,-93.09,-88.31,-4.780000000000001,-91.38,-84.65,-6.72999999999999,-79.33,-80.49,1.1599999999999966,0.0,0.1699999999999875,1.75
40.424600000000005,-86.91675000000001,308,0.0,0.0,-91.17,-87.43,-3.739999999999995,-88.745,-85.66,-3.085000000000008,-86.92500000000001,-84.035,-2.890000000000015,3.180000000000007,3.5400000000000063,3.789999999999992
40.424600000000005,-86.9167,167,0.0,0.0,-90.04,-89.0775,-0.9625000000000057,-88.77,-87.82,-0.9500000000000028,-86.93,-84.905,-2.0250000000000057,4.47999999999999,5.72999999999999,5.1000000000000085
40.42465,-86.91685000000001,201,0.0348258706467661,0.0,-91.9375,-88.48,-3.457499999999996,-89.705,-84.73,-4.974999999999994,-88.2175,-84.73,-3.487499999999997,11.319999999999993,8.900000000000006,8.430000000000007
40.42465,-86.91680000000001,172,0.0,0.0,-88.9825,-89.2575,0.2749999999999915,-87.73,-87.685,-0.045000000000001705,-87.08500000000001,-85.68,-1.4050000000000011,23.6575,9.14,9.387500000000003
40.42465,-86.91675000000001,223,0.0,0.0,-91.1675,-88.6525,-2.5150000000000006,-89.905,-87.74000000000001,-2.164999999999992,-86.63749999999999,-86.255,-0.3824999999999932,6.304999999999993,6.490000000000009,4.977499999999992
40.42465,-86.9167,207,0.0,0.0,-88.62,-87.795,-0.8250000000000028,-86.69,-85.975,-0.7150000000000034,-82.58500000000001,-81.7925,-0.792500000000004,4.194999999999993,5.409999999999997,6.469999999999999
40.4247,-86.91685000000001,901,0.0077691453940066,0.0077691453940066,-89.30499999999999,-88.365,-0.9399999999999977,-88.25999999999999,-86.58500000000001,-1.674999999999983,-87.315,-84.73,-2.5849999999999937,8.457499999999996,11.125,11.902500000000003
40.42475,-86.91685000000001,809,0.0865265760197774,0.0865265760197774,-86.8,-86.7775,-0.022499999999993747,-85.12,-84.94,-0.18000000000000682,-82.73,-83.09,0.35999999999999943,12.909999999999997,9.635000000000005,9.269999999999982
