grid_lon,height,thput_0,thput_1,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_99,thput_100,total_sample
40.4633,0.0000,-116.7340,-115.5752,-111.5998,-111.0126,-108.3125,-105.7580,-101.9610,-98.7500,-97.5250,-94.3575,-93.4375,269.0000
40.4633,30.0000,-94.4610,-93.4287,-90.5875,-89.7500,-88.3906,-86.0000,-79.7344,-76.3187,-74.9375,-74.3750,-73.8125,1372.0000
40.4633,60.0000,-94.6875,-94.1594,-93.6875,-93.3750,-89.4219,-87.2500,-84.1680,-82.5390,-82.2340,-81.9256,-81.7270,746.0000
40.4633,90.0000,-98.7500,-98.5000,-97.8500,-95.2500,-93.8125,-91.9375,-86.4060,-83.6720,-83.0738,-82.1462,-81.6410,889.0000
40.4633,120.0000,-99.8125,-97.1875,-96.4375,-95.8375,-93.8520,-92.6250,-87.5080,-83.5470,-82.8170,-82.0100,-81.8590,577.0000
40.4634,0.0000,-114.2500,-113.8225,-112.4468,-111.1748,-108.0625,-105.0000,-101.6250,-99.1672,-98.3032,-93.3375,-92.4375,229.0000
40.4634,30.0000,-92.8830,-92.3277,-91.0462,-90.4352,-89.2500,-86.4490,-80.0625,-76.6875,-75.3750,-74.6250,-74.0000,1352.0000
40.4634,60.0000,-96.2500,-94.9075,-94.0125,-93.3125,-91.2500,-88.6875,-86.5860,-83.8408,-82.7254,-81.8787,-80.7340,1117.0000
40.4634,90.0000,-112.7970,-99.5431,-97.8969,-95.5000,-94.2500,-92.4375,-85.4450,-83.2588,-82.5721,-82.0550,-81.6880,1032.0000
40.4634,120.0000,-97.3750,-96.7781,-96.2500,-96.0000,-93.6875,-92.5310,-86.7698,-83.6290,-83.3400,-81.7624,-81.5470,456.0000
40.4635,0.0000,-116.9375,-114.9044,-111.9961,-110.7500,-109.4570,-104.7580,-101.5156,-98.7711,-97.1937,-94.1250,-93.7500,242.0000
40.4635,30.0000,-94.4690,-92.9829,-91.8080,-90.8782,-88.9770,-84.7970,-78.6875,-77.0000,-76.5000,-74.7500,-73.4375,2117.0000
40.4635,60.0000,-96.5000,-94.3750,-93.4375,-93.0000,-90.1250,-87.8125,-85.6875,-82.9690,-82.7022,-81.7890,-80.5080,799.0000
40.4635,90.0000,-101.3125,-100.8937,-98.9688,-96.0000,-94.4375,-90.5625,-84.8200,-83.3590,-83.0430,-82.3696,-81.9060,971.0000
40.4635,120.0000,-98.7500,-96.7706,-96.3750,-96.0000,-93.8750,-92.3435,-87.1132,-83.6480,-83.3910,-82.2474,-82.1480,468.0000
40.4636,0.0000,-116.2500,-114.1112,-112.5000,-111.4750,-108.0625,-105.6250,-101.6835,-100.2500,-98.8149,-93.8300,-93.6250,215.0000
40.4636,30.0000,-98.0000,-93.5446,-90.7404,-90.2436,-88.5940,-85.3750,-80.4375,-77.3750,-75.8750,-74.6250,-73.1875,1745.0000
40.4636,60.0000,-96.8750,-93.5913,-92.8312,-92.1250,-90.0625,-87.7500,-84.8125,-82.1940,-81.6077,-81.0940,-77.0000,955.0000
40.4636,90.0000,-101.1875,-100.9100,-98.3750,-96.1875,-94.8750,-91.0625,-84.9060,-83.0924,-82.7236,-82.0230,-81.7420,845.0000
40.4636,120.0000,-99.5000,-97.5625,-97.0000,-96.5625,-94.5312,-91.5000,-88.1250,-83.8486,-83.4004,-82.0090,-81.9220,583.0000
40.4637,0.0000,-115.5000,-115.3781,-113.4469,-111.5625,-109.1954,-105.6993,-101.3692,-99.4795,-98.0531,-95.2319,-93.6250,320.0000
40.4637,30.0000,-93.2660,-92.3360,-90.6924,-90.1250,-88.0625,-85.2230,-82.5000,-78.2500,-77.1875,-76.3669,-75.6875,1288.0000
