column,rsrq,cause
4,-24.76,noloop
4,-26.015,noloop
4,-34.5,noloop
4,-28.55,noloop
4,-30.0,noloop
4,-32.77,noloop
4,-31.885,noloop
4,-30.0,noloop
4,-21.55,noloop
4,-30.0,noloop
4,-36.64,noloop
4,-24.12,noloop
4,-30.0,noloop
4,-20.83,noloop
4,-30.0,noloop
4,-10.595,noloop
4,-30.0,noloop
4,-20.98,noloop
4,-23.18,noloop
4,-10.3,noloop
4,-10.48,noloop
4,-10.38,noloop
4,-22.42,noloop
4,-22.77,noloop
4,-20.89,noloop
4,-22.51,noloop
4,-25.62,noloop
4,-10.585,noloop
4,-10.53,noloop
4,-10.39,noloop
4,-10.44,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.4,noloop
4,-10.47,noloop
4,-10.44,noloop
4,-10.41,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-10.64,noloop
4,-33.585,noloop
4,-10.49,noloop
4,-10.485,noloop
4,-10.465,noloop
4,-21.53,noloop
4,-21.53,noloop
4,-26.28,noloop
4,-23.235,noloop
4,-23.8,noloop
4,-22.695,noloop
4,-25.76,noloop
4,-41.5,noloop
4,-41.51,noloop
4,-23.68,noloop
4,-23.68,noloop
4,-41.7,noloop
4,-10.5,noloop
4,-30.0,noloop
4,-10.63,noloop
4,-30.0,noloop
4,-10.61,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-25.86,noloop
4,-25.41,noloop
4,-10.34,noloop
4,-10.34,noloop
4,-10.6,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-10.52,noloop
4,-22.98,noloop
4,-22.6,noloop
4,-26.695,noloop
4,-21.49,noloop
4,-27.81,noloop
4,-31.73,noloop
4,-10.63,noloop
4,-23.0,noloop
4,-10.61,noloop
4,-21.59,noloop
4,-10.635000000000002,noloop
4,-10.48,noloop
4,-25.11,noloop
4,-10.52,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-30.0,noloop
4,-25.24,noloop
4,-30.0,noloop
4,-23.63,noloop
4,-10.63,noloop
4,-10.595,noloop
4,-10.585,noloop
4,-10.56,noloop
4,-10.48,noloop
