grid_lat,grid_lon,grid_height,total_sample,thput_mean,thput_std,thput_0,thput_25,thput_50,thput_75,thput_100,rbs_mean,rbs_std,rbs_0,rbs_25,rbs_50,rbs_75,rbs_100,rtt_mean,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100
-86.9470,40.4485,0.0000,3.0000,9.7770,1.5717,8.3910,8.6780,8.9650,10.4699,11.9749,91.3333,0.9428,90.0000,91.0000,92.0000,92.0000,92.0000,337.3333,72.4538,235.0000,264.8000,309.5000,384.0000,388.5000,391.2000,393.0000
-86.9470,40.4490,0.0000,2.0000,20.8994,5.0560,15.8434,18.3714,20.8994,23.4274,25.9554,80.5000,11.5000,69.0000,74.7500,80.5000,86.2500,92.0000,263.5000,46.5000,217.0000,226.3000,240.2500,263.5000,286.7500,300.7000,310.0000
-86.9470,40.4495,0.0000,2.0000,19.5615,6.1425,13.4190,16.4902,19.5615,22.6328,25.7040,53.0000,0.0000,53.0000,53.0000,53.0000,53.0000,53.0000,181.5000,18.5000,163.0000,166.7000,172.2500,181.5000,190.7500,196.3000,200.0000
-86.9470,40.4500,0.0000,3.0000,16.7460,4.4257,10.6480,14.6110,18.5740,19.7950,21.0160,81.3333,15.0849,60.0000,76.0000,92.0000,92.0000,92.0000,321.0000,28.3314,291.0000,295.4000,302.0000,313.0000,336.0000,349.8000,359.0000
-86.9470,40.4505,0.0000,2.0000,24.8205,7.1595,17.6610,21.2408,24.8205,28.4002,31.9800,69.0000,23.0000,46.0000,57.5000,69.0000,80.5000,92.0000,207.5000,80.5000,127.0000,143.1000,167.2500,207.5000,247.7500,271.9000,288.0000
-86.9470,40.4510,0.0000,2.0000,37.1955,1.6065,35.5890,36.3922,37.1955,37.9988,38.8020,90.5000,1.5000,89.0000,89.7500,90.5000,91.2500,92.0000,153.5000,17.5000,136.0000,139.5000,144.7500,153.5000,162.2500,167.5000,171.0000
-86.9470,40.4665,0.0000,7.0000,6.2554,3.6443,3.0069,3.7370,4.6686,7.5529,13.5324,38.8571,41.2221,3.0000,3.0000,4.0000,83.5000,92.0000,402.8571,59.5253,335.0000,346.4000,354.5000,378.0000,445.5000,478.8000,507.0000
-86.9470,40.4670,0.0000,254.0000,9.0849,5.8364,0.3707,4.9891,7.2753,12.3080,29.5689,59.6190,31.3385,3.0000,45.0000,77.0000,81.0000,92.0000,432.9551,175.4950,48.7000,194.0000,282.5000,452.5000,576.0000,635.7000,796.0000
-86.9470,40.4675,0.0000,100.0000,8.2391,7.1480,0.1383,2.9503,7.0591,10.8525,42.1058,58.6700,21.1026,3.0000,45.7500,53.0000,81.0000,92.0000,425.6770,202.8289,54.4000,114.9000,254.5000,444.0000,584.0000,711.5000,809.0000
-86.9470,40.4680,0.0000,16.0000,5.7800,1.3256,3.4450,4.9375,5.6644,6.8891,8.0667,62.8125,17.5471,30.0000,50.0000,68.0000,81.0000,81.0000,403.5000,143.8276,178.0000,205.5000,308.0000,406.5000,486.5000,572.0000,706.0000
-86.9470,40.4685,0.0000,17.0000,9.3508,5.4460,2.5086,5.8434,7.3950,9.8360,22.8142,66.6471,20.0380,30.0000,48.0000,64.0000,85.0000,92.0000,383.0000,160.4926,175.0000,202.6000,223.0000,381.0000,471.0000,619.2000,700.0000
-86.9465,40.4385,0.0000,2.0000,29.1380,9.9680,19.1700,24.1540,29.1380,34.1220,39.1060,38.0000,3.0000,35.0000,36.5000,38.0000,39.5000,41.0000,195.0000,21.0000,174.0000,178.2000,184.5000,195.0000,205.5000,211.8000,216.0000
-86.9465,40.4390,0.0000,2.0000,46.9095,3.3655,43.5440,45.2267,46.9095,48.5922,50.2750,63.0000,21.0000,42.0000,52.5000,63.0000,73.5000,84.0000,119.0000,8.0000,111.0000,112.6000,115.0000,119.0000,123.0000,125.4000,127.0000
-86.9465,40.4395,0.0000,2.0000,22.3146,14.8306,7.4840,14.8993,22.3146,29.7299,37.1451,14.0000,11.0000,3.0000,8.5000,14.0000,19.5000,25.0000,98.6000,43.4000,55.2000,63.8800,76.9000,98.6000,120.3000,133.3200,142.0000
