grid_lat,grid_lon,grid_height,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_25_ul,thput_50_ul,thput_75_ul,thput_90_ul,thput_100_ul
-86.9165,40.465,0,248,1001,71,125290,68,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,132,0.14301191765980498,704,121,0.171875,0.3113628492719402,0.09557751113312869,0.053714285714285714,0.194,0.243,0.313,0.36,0.4342857142857143,0.598,14.10190515545061,4.031123529531978,0.43542857142857144,8.752,11.982,14.801,16.754,17.988,24.406,
-86.9165,40.465,0,248,1001,452,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,56,0.06067172264355363,704,50,0.07102272727272728,0.24344000000000002,0.17060088723840394,0.038,0.10342857142857143,0.13775,0.2345,0.2732857142857143,0.35808571428571434,1.159,9.933568571428571,3.9609849518738933,1.24,4.704842857142856,5.89225,10.733214285714286,12.040642857142858,14.942900000000002,16.831,
-86.9165,40.465,0,248,1001,382,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,1,0.0010834236186348862,704,1,0.0014204545454545455,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,6.197,0.0,6.197,6.197,6.197,6.197,6.197,6.197,6.197,
-86.9165,40.465,0,248,1001,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,107,0.11592632719393282,704,101,0.1434659090909091,0.2696506364922206,0.1770877011127797,0.024,0.093,0.139,0.23555555555555555,0.347,0.473,1.084,10.945649693540782,6.787641984821193,0.15314285714285714,3.697,6.366,9.6,14.957714285714287,17.770285714285713,36.475,
-86.9165,40.465,0,248,1001,382,125290,68,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,6,0.0065005417118093175,704,6,0.008522727272727272,0.4201560846560847,0.06578560747400351,0.357,0.36,0.373,0.40461111111111114,0.42984126984126986,0.4958571428571429,0.554,19.493574074074075,2.7693921748599606,13.443,16.783722222222224,20.134583333333335,20.2845,20.83975,21.4125,21.84,
-86.9165,40.465,0,248,1001,210,125290,68,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,36,0.0390032502708559,704,33,0.046875,0.43638528138528143,0.1583915655758739,0.15428571428571428,0.256,0.369,0.408,0.501,0.5856,0.926,17.025376623376623,3.5508810006865494,8.197,11.753285714285715,16.149714285714285,18.145,19.268,20.4238,21.854,
-86.9165,40.465,0,453,1200,314,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,18,0.01950162513542795,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,453,1200,436,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,4,0.004333694474539545,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,339,1001,452,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,1,0.0010834236186348862,704,1,0.0014204545454545455,0.126,0.0,0.126,0.126,0.126,0.126,0.126,0.126,0.126,6.341,0.0,6.341,6.341,6.341,6.341,6.341,6.341,6.341,
-86.9165,40.465,0,248,1001,None,None,68,66736,None,None,None,None,None,None,None,None,None,None,LTE,923,4,0.004333694474539545,704,4,0.005681818181818182,0.2360714285714286,0.034398846088857384,0.19314285714285714,0.19862857142857143,0.20685714285714285,0.24057142857142857,0.2697857142857143,0.2699142857142857,0.27,11.540142857142857,1.0846380662201922,10.35542857142857,10.418514285714284,10.513142857142856,11.540571428571429,12.567571428571428,12.661428571428571,12.724,
-86.9165,40.465,0,453,1200,71,125290,339,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,19,0.020585048754062838,704,19,0.026988636363636364,0.4755563909774435,0.20636250156215916,0.097,0.23240000000000002,0.349,0.456,0.604,0.7466,0.929,15.753691729323307,8.245967781114711,0.364,6.3174,8.440142857142858,15.56,24.266,26.2668,29.917,
-86.9165,40.465,0,453,1200,452,125290,339,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,15,0.016251354279523293,704,14,0.019886363636363636,0.24546938775510202,0.08140693283152385,0.133,0.1774,0.19314285714285714,0.23299999999999998,0.253,0.3412000000000001,0.467,10.303989795918366,1.7031448945893735,7.494,7.9725,8.84925,10.751999999999999,11.448,12.014,13.505,
-86.9165,40.465,0,339,1001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,923,1,0.0010834236186348862,704,1,0.0014204545454545455,0.158,0.0,0.158,0.158,0.158,0.158,0.158,0.158,0.158,7.452,0.0,7.452,7.452,7.452,7.452,7.452,7.452,7.452,
-86.9165,40.465,0,453,1200,483,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,1,0.0010834236186348862,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,453,1200,721,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,8,0.00866738894907909,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.465,0,453,1200,802,520110,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,923,1,0.0010834236186348862,704,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.917,40.465,0,68,1200,71,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,11,1,0.09090909090909091,11,1,0.09090909090909091,0.23085714285714287,0.0,0.23085714285714287,0.23085714285714287,0.23085714285714287,0.23085714285714287,0.23085714285714287,0.23085714285714287,0.23085714285714287,10.849142857142857,0.0,10.849142857142857,10.849142857142857,10.849142857142857,10.849142857142857,10.849142857142857,10.849142857142857,10.849142857142857,
